priority,word,zh,category,filename,prompt
1,actor,演員,Occupations,data/images/vocab/word_actor.webp,"a man in a costume standing in front of a theater, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,actress,女演員,Occupations,data/images/vocab/word_actress.webp,"a woman in a beautiful dress holding an award, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,air,空氣,Weather & nature,data/images/vocab/word_air.webp,"a blue sky with white clouds and floating leaves, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,airport,飛機場,Transportation,data/images/vocab/word_airport.webp,"a large airport building with airplanes on the runway, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,ambulance,救護車,Transportation,data/images/vocab/word_ambulance.webp,"a red ambulance driving down the street, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,animal,動物,Animals & insects,data/images/vocab/word_animal.webp,"a cute animal sitting in a green forest, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,ant,螞蟻,Animals & insects,data/images/vocab/word_ant.webp,"a small ant crawling on a leaf, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,apartment,公寓,Houses & apartments,data/images/vocab/word_apartment.webp,"a modern apartment building with many windows, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,area,區域,Geographical terms,data/images/vocab/word_area.webp,"a fenced grass area with a sign, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,armchair,扶手椅,Houses & apartments,data/images/vocab/word_armchair.webp,"a comfortable armchair in a cozy living room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,artist,藝術家,Occupations,data/images/vocab/word_artist.webp,"an artist painting at an easel with colors, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,assistant,助理,Occupations,data/images/vocab/word_assistant.webp,"an assistant helping a person at a desk, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,baby sitter,保母,Occupations,data/images/vocab/word_baby_sitter.webp,"a baby sitter playing with a toddler, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,badminton,羽毛球,"Sports, interests & hobbies",data/images/vocab/word_badminton.webp,"a badminton racket and shuttlecock on a court, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,band,樂團,"Sports, interests & hobbies",data/images/vocab/word_band.webp,"a rock band performing on a big stage, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bank,銀行,Places & locations,data/images/vocab/word_bank.webp,"a small bank building with columns, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,barber,理髮師,Occupations,data/images/vocab/word_barber.webp,"a barber cutting a man's hair, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,baseball,棒球,"Sports, interests & hobbies",data/images/vocab/word_baseball.webp,"a baseball on a green grass, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,basketball,籃球,"Sports, interests & hobbies",data/images/vocab/word_basketball.webp,"a basketball bouncing on a court, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bat,蝙蝠,Animals & insects,data/images/vocab/word_bat.webp,"a cute bat hanging from a tree branch, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bath,洗澡,Houses & apartments,data/images/vocab/word_bath.webp,"a bathtub filled with bubbles and toys, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bathroom,浴室,Houses & apartments,data/images/vocab/word_bathroom.webp,"a modern bathroom with a sink and shower, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,beach,海灘,Places & locations,data/images/vocab/word_beach.webp,"a sunny beach with palm trees and waves, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bean,豆,Food & drinks,data/images/vocab/word_bean.webp,"a green bean on a white plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bedroom,臥室,Houses & apartments,data/images/vocab/word_bedroom.webp,"a cozy bedroom with a bed and curtains, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,belt,腰帶,Clothing & accessories,data/images/vocab/word_belt.webp,"a brown leather belt rolled up, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bench,長椅,Houses & apartments,data/images/vocab/word_bench.webp,"a wooden bench in a park, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bite,咬,Animals & insects,data/images/vocab/word_bite.webp,"a cartoon child biting into a red apple, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,blouse,女式襯衫,Clothing & accessories,data/images/vocab/word_blouse.webp,"a blue blouse on a clothes rack, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,boil,熬,Food & drinks,data/images/vocab/word_boil.webp,"a pot of water boiling on a stove, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bookcase,書櫃,Houses & apartments,data/images/vocab/word_bookcase.webp,"a tall bookcase in a living room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,boss,老闆,Occupations,data/images/vocab/word_boss.webp,"a boss sitting at a desk in an office, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bowl,碗,Tableware,data/images/vocab/word_bowl.webp,"a white ceramic bowl on a kitchen counter, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bowling,保齡球,"Sports, interests & hobbies",data/images/vocab/word_bowling.webp,"a bowling ball rolling down a lane, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,brick,磚,Houses & apartments,data/images/vocab/word_brick.webp,"a red brick on a construction site, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bridge,橋,Transportation,data/images/vocab/word_bridge.webp,"a small bridge over a river, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,brunch,早午餐,Food & drinks,data/images/vocab/word_brunch.webp,"a plate of brunch food on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bucket,桶,Houses & apartments,data/images/vocab/word_bucket.webp,"a metal bucket filled with water, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bug,蟲,Animals & insects,data/images/vocab/word_bug.webp,"a cute cartoon insect with antennas, round body and six legs on a green leaf, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,building,大樓,Houses & apartments,data/images/vocab/word_building.webp,"a tall building in a city skyline, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,bun,包子,Food & drinks,data/images/vocab/word_bun.webp,"a sweet bun on a wooden plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,burn,燒傷,Food & drinks,data/images/vocab/word_burn.webp,"a pot of water boiling over on a stove, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
